instance_name	best_obj_value	best_bound
instance_01	-218764.88525	-221054.6184331
instance_02	-357538.5765	-358714.5680674
instance_03	248.5	248.5
instance_04	1089.5	491.2999990493
instance_05	1036.4	442.8000000001
instance_06	55056.0	38161.0
instance_07	80985.0	75477.0
instance_08	40056.0	38848.0
instance_09	10.0	10.0
instance_10	10.0	7.0
instance_11	729.0	148.0
instance_12	193.0	193.0
instance_13	5053.0	14.0
instance_14	495373.0	484942.0
instance_15	678131.0	669447.5420488
instance_16	not_found	5.0
instance_17	not_found	1.0
instance_18	16.0	16.0
instance_19	5.0	5.0
instance_20	7.0	4.0
instance_21	10.0	7.0
instance_22	171.5	159.74
instance_23	100.84	100.84
instance_24	431.24	425.1
instance_25	-32.0	-32.0
instance_26	-86.0	-110.0
instance_27	-92.0	-324.0
instance_28	373739.5	45621.00824824
instance_29	not_found	17801.6672944
instance_30	not_found	5.456968210638e-12
instance_31	-2507.617041	-2514.56048332
instance_32	-3493.73564	-3503.165332615
instance_33	-331.701168	-10679.23256708
instance_34	100.0	100.0
instance_35	148.0	139.0
instance_36	328.0	270.0
instance_37	2.0	0.0
instance_38	89.0	0.0
instance_39	464.0	439.0
instance_40	not_found	461.0
instance_41	not_found	503.0
instance_42	24942375.27298	24941304.53695
instance_43	24253497.14922	24203429.79853
instance_44	57045735.99022	56965375.52755
instance_45	4.0	4.0
instance_46	56.0	1.0
instance_47	116.0	1.0
instance_48	152287062.7577	152272618.8125
instance_49	269331393.8116	123721906.8917
instance_50	130086220.7415	124660126.3834
