File Name,Total Variables,Problem Type,Best Candidate,Final Score,Result,Time Taken
instance_01.mps,5664,PB,0,0.000294046,1,0.413334
instance_02.mps,146071,MB,0,1.51374e-05,1,7.51326
instance_03.mps,2351,MI,0,0.000574068,1,1.54663
instance_04.mps,19061,MI,0,0.00922649,0,8.82884
instance_05.mps,21451,MI,0,0.108716,0,5.73192
instance_06.mps,122810,PB,0,0.00243305,0,3.60549
instance_07.mps,92552,PI,0,0,1,1.61046
instance_08.mps,25897,PI,0,0.000135819,1,0.621824
instance_09.mps,466,MB,0,0.000101259,1,2.36924
instance_10.mps,210,MB,0,0.00013009,1,0.320313
instance_11.mps,51078,PB,0,5.3914e-08,1,0.550401
instance_12.mps,14740,PI,0,2.95719e-07,1,0.42888
instance_13.mps,1369500,PI,0,0.000303657,1,2.99217
instance_14.mps,22970,MI,0,4.46166e-05,1,7.95985
instance_15.mps,22945,MI,0,0.0319669,0,4.22162
instance_16.mps,57520,MB,0,0,1,0.547571
instance_17.mps,481390,MB,0,6.59921e-09,1,2.8744
instance_18.mps,5070,MB,0,0,1,0.293807
instance_19.mps,3004,MI,0,4.89156e-05,1,0.37854
instance_20.mps,11564,MI,0,0.000385568,1,1.82814
instance_21.mps,7078,MI,0,0.000209477,1,0.684816
instance_22.mps,2370,MB,0,0,1,0.289651
instance_23.mps,1360,MB,0,0,1,0.357204
instance_24.mps,3560,MB,0,0,1,0.393589
instance_25.mps,343,PB,0,0,1,0.276461
instance_26.mps,3125,PB,0,0,1,0.317533
instance_27.mps,2401,PB,0,0,1,0.333681
instance_28.mps,20500,MB,0,2.85515e-12,1,1.47576
instance_29.mps,81000,MB,0,7.39642e-11,1,5.3016
instance_30.mps,322000,MB,0,1.65537e-11,1,21.2892
instance_31.mps,12063,MB,0,0.55503,0,0.682273
instance_32.mps,23728,MB,0,0.223277,0,3.44468
instance_33.mps,162005,MB,1,151.518,0,72.2067
instance_34.mps,2534,PB,0,7.73039e-06,1,0.449587
instance_35.mps,4266,PB,0,1.73609e-05,1,0.384914
instance_36.mps,8375,PB,0,3.42486e-05,1,0.386077
instance_37.mps,936,MI,0,1.18703e-08,1,0.393973
instance_38.mps,7104,MI,0,5.15661e-08,1,0.450613
instance_39.mps,114148,PB,0,7.96048e-07,1,1.26183
instance_40.mps,176810,PB,0,1.07971e-06,1,1.40472
instance_41.mps,989858,PB,0,2.32627e-05,1,15.5618
instance_42.mps,142635,MB,0,1.06811,0,15.8576
instance_43.mps,196354,MB,0,4.29615,0,20.1692
instance_44.mps,547274,MI,0,5.56103,0,12.4569
instance_45.mps,1292,PB,0,7.4722e-06,1,0.287945
instance_46.mps,1277,MB,0,0.00107095,0,0.307922
instance_47.mps,1206,MB,0,3.92475e-11,1,0.707248
instance_48.mps,828002,PI,0,0.0122435,0,3.56617
instance_49.mps,1457386,PI,0,0.00108431,0,17.0533
instance_50.mps,1372839,PI,0,0.376839,0,8.89532
