File Name,Total Variables,Problem Type,Best Candidate,Final Score,Result,Time Taken
instance_01.mps,5664,PB,0,0.0989869,0,0.371033
instance_02.mps,146071,MB,0,0.0196508,0,7.34877
instance_03.mps,2351,MI,0,0.0928112,0,1.54452
instance_04.mps,19061,MI,0,1.0171,0,8.74314
instance_05.mps,21451,MI,0,2.37907,0,5.65725
instance_06.mps,122810,PB,0,0.856335,0,3.39319
instance_07.mps,92552,PI,0,0,1,1.57802
instance_08.mps,25897,PI,0,0.156514,0,0.615455
instance_09.mps,466,MB,0,0.0483283,0,2.35736
instance_10.mps,210,MB,0,0.0601673,0,0.307831
instance_11.mps,51078,PB,0,0.000885285,1,0.530325
instance_12.mps,14740,PI,0,0.00586233,0,0.396795
instance_13.mps,1369500,PI,0,0.0755479,0,2.83684
instance_14.mps,22970,MI,0,0.026908,0,7.92169
instance_15.mps,22945,MI,0,0.570604,0,4.30648
instance_16.mps,57520,MB,0,0,1,0.503676
instance_17.mps,481390,MB,0,0.0034337,0,2.51367
instance_18.mps,5070,MB,0,0,1,0.263141
instance_19.mps,3004,MI,0,0.0880755,0,0.387491
instance_20.mps,11564,MI,0,0.23937,0,1.84803
instance_21.mps,7078,MI,0,0.295406,0,0.65337
instance_22.mps,2370,MB,0,0,1,0.26648
instance_23.mps,1360,MB,0,0,1,0.349026
instance_24.mps,3560,MB,0,0,1,0.368847
instance_25.mps,343,PB,0,0,1,0.259629
instance_26.mps,3125,PB,0,0,1,0.29191
instance_27.mps,2401,PB,0,0,1,0.317748
instance_28.mps,20500,MB,0,1.73299e-05,1,1.05031
instance_29.mps,81000,MB,0,0.000181469,1,3.61775
instance_30.mps,322000,MB,0,0.000147319,1,13.4554
instance_31.mps,12063,MB,0,3.06344,0,0.680531
instance_32.mps,23728,MB,0,1.86873,0,3.33359
instance_33.mps,162005,MB,1,45.6373,0,140.251
instance_34.mps,2534,PB,0,0.0899848,0,0.426885
instance_35.mps,4266,PB,0,0.175492,0,0.393209
instance_36.mps,8375,PB,0,0.345511,0,0.379729
instance_37.mps,936,MI,0,0.00111797,0,0.303801
instance_38.mps,7104,MI,0,0.00759798,0,0.407678
instance_39.mps,114148,PB,0,0.00336477,0,1.22868
instance_40.mps,176810,PB,0,0.00348023,0,1.3773
instance_41.mps,989858,PB,0,0.0215683,0,15.4492
instance_42.mps,142635,MB,0,26.7715,0,10.7784
instance_43.mps,196354,MB,0,44.8396,0,10.5162
instance_44.mps,547274,MI,0,95.2483,0,12.3102
instance_45.mps,1292,PB,0,0.00342856,0,0.271443
instance_46.mps,1277,MB,0,0.033386,0,0.271204
instance_47.mps,1206,MB,0,2.53691e-05,1,0.685947
instance_48.mps,828002,PI,0,2.008,0,3.49232
instance_49.mps,1457386,PI,0,1.09659,0,17.0101
instance_50.mps,1372839,PI,0,2.73246,0,8.80173
