instance,lp_obj,bench_obj,abs_diff,rel_diff
instance,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_01,-242513.692894388,0,242513.692894388,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_02,-373486.259566122,0,373486.259566122,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_03,242.750084979328,0,242.750084979328,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_04,490.390803334182,0,490.390803334182,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_05,442.957170917721,0,442.957170917721,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_06,37925.0036396599,0,37925.0036396599,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_07,75471.7491249077,0,75471.7491249077,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_08,38767.1906517415,0,38767.1906517415,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_09,0.00197630946361728,0,0.00197630946361728,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_10,0.00197652072126351,0,0.00197652072126351,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_11,5.51764125077357,0,5.51764125077357,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_12,25,0,25,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_13,13.3424238910462,0,13.3424238910462,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_14,370420.618705933,0,370420.618705933,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_15,547293.654207108,0,547293.654207108,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_16,0.999935543975811,0,0.999935543975811,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_17,1.00002763643345,0,1.00002763643345,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_18,0.99985729506255,0,0.99985729506255,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_19,4.00005174808423,0,4.00005174808423,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_20,4.00000219761428,0,4.00000219761428,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_21,7.00000033649177,0,7.00000033649177,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_22,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_23,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_24,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_25,-46.9711614562818,0,46.9711614562818,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_26,-117.781387209964,0,117.781387209964,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_27,-324.07170997809,0,324.07170997809,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_28,-0.000893111974411279,0,0.000893111974411279,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_29,3.61639910451057e-06,0,3.61639910451057e-06,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_30,-1.80239881654117e-05,0,1.80239881654117e-05,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_31,-2522.04507820102,0,2522.04507820102,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_32,-3504.55029496849,0,3504.55029496849,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_33,-10679.2577417544,0,10679.2577417544,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_34,-0.0262421165006117,0,0.0262421165006117,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_35,-0.0500497341371329,0,0.0500497341371329,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_36,-0.102106057543551,0,0.102106057543551,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_37,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_38,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_39,426.065530806455,0,426.065530806455,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_40,434.520219109927,0,434.520219109927,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_41,502.878524295336,0,502.878524295336,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_42,24704901.5706141,0,24704901.5706141,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_43,23923483.3964629,0,23923483.3964629,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_44,56340760.2456832,0,56340760.2456832,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_45,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_46,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_47,0,0,0,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_48,152134245.173978,0,152134245.173978,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_49,123722555.818484,0,123722555.818484,0
Coin0008I model_pre read with 0 errors,0,0,0,0
instance_50,124658794.103745,0,124658794.103745,0
