instance_name,feasible,objective_value,time_taken_sec,status_message
instance_01.mps,0,N/A,153.732,"Time limit reached without feasible integer solution"
instance_02.mps,0,N/A,184.587,"Time limit reached without feasible integer solution"
instance_03.mps,0,N/A,180.355,"Time limit reached without feasible integer solution"
instance_04.mps,0,N/A,202.325,"Time limit reached without feasible integer solution"
instance_05.mps,0,N/A,184.301,"Time limit reached without feasible integer solution"
instance_06.mps,0,N/A,185.744,"Time limit reached without feasible integer solution"
instance_07.mps,1,599449,1.92416,"SUCCESS!"
instance_08.mps,0,N/A,180.286,"Time limit reached without feasible integer solution"
instance_09.mps,1,41,2.47071,"SUCCESS!"
instance_10.mps,1,29,2.94796,"SUCCESS!"
instance_11.mps,0,N/A,180.446,"Time limit reached without feasible integer solution"
instance_12.mps,0,N/A,180.066,"Time limit reached without feasible integer solution"
instance_13.mps,0,N/A,182.935,"Time limit reached without feasible integer solution"
instance_14.mps,0,N/A,181.668,"Time limit reached without feasible integer solution"
instance_15.mps,0,N/A,181.547,"Time limit reached without feasible integer solution"
instance_16.mps,0,N/A,72.9084,"Time limit reached without feasible integer solution"
instance_17.mps,0,N/A,N/A,""
instance_18.mps,0,N/A,37.9427,"Time limit reached without feasible integer solution"
instance_19.mps,1,24,36.7361,"SUCCESS!"
instance_20.mps,0,N/A,180.579,"Time limit reached without feasible integer solution"
instance_21.mps,0,N/A,180.361,"Time limit reached without feasible integer solution"
instance_22.mps,0,N/A,73.4112,"Time limit reached without feasible integer solution"
instance_23.mps,0,N/A,131.174,"Time limit reached without feasible integer solution"
instance_24.mps,0,N/A,180.094,"Time limit reached without feasible integer solution"
instance_25.mps,1,0,0.279341,"SUCCESS!"
instance_26.mps,1,0,0.340877,"SUCCESS!"
instance_27.mps,1,0,0.349529,"SUCCESS!"
instance_28.mps,0,N/A,45.425,"Time limit reached without feasible integer solution"
instance_29.mps,0,N/A,58.3164,"Time limit reached without feasible integer solution"
instance_30.mps,0,N/A,N/A,""
instance_31.mps,0,N/A,180.2,"Time limit reached without feasible integer solution"
instance_32.mps,0,N/A,183.207,"Time limit reached without feasible integer solution"
instance_33.mps,0,N/A,229.827,"Time limit reached without feasible integer solution"
instance_34.mps,1,-175,1.11485,"SUCCESS!"
instance_35.mps,1,144,1.05548,"SUCCESS!"
instance_36.mps,1,281,3.50648,"SUCCESS!"
instance_37.mps,0,N/A,180.268,"Time limit reached without feasible integer solution"
instance_38.mps,0,N/A,180.472,"Time limit reached without feasible integer solution"
instance_39.mps,0,N/A,183.277,"Time limit reached without feasible integer solution"
instance_40.mps,1,635,119.13,"SUCCESS!"
instance_41.mps,0,N/A,187.194,"Time limit reached without feasible integer solution"
instance_42.mps,0,N/A,180.723,"Time limit reached without feasible integer solution"
instance_43.mps,0,N/A,184.424,"Time limit reached without feasible integer solution"
instance_44.mps,0,N/A,187.186,"Time limit reached without feasible integer solution"
instance_45.mps,0,N/A,180.261,"Time limit reached without feasible integer solution"
instance_46.mps,0,N/A,118.908,"Time limit reached without feasible integer solution"
instance_47.mps,0,N/A,180.434,"Time limit reached without feasible integer solution"
instance_48.mps,0,N/A,186.347,"Time limit reached without feasible integer solution"
instance_49.mps,0,N/A,227.73,"Time limit reached without feasible integer solution"
instance_50.mps,0,N/A,184.453,"Time limit reached without feasible integer solution"
